120 | w account | f 5 | p 0.000531812 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
121 | w accurate | f 1 | p 1 | 0.0001450396 1 0.0004411764 0 0.0001509206 0 0.00016728 
121 | w accurate | f 1 | p 0.0001450396 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
122 | w accurate | f 1 | p 1 | 0.0001450396 1 0.0004411764 0 0.0001509206 0 0.00016728 
122 | w accurate | f 1 | p 0.0001450396 | 1 0.0004411764 0 0.0001509206 0 0.00016728 0.00016728 
123 | w achieve | f 3 | p 3 | 0.0003384258 0 0.0001470588 0 0.0001509206 0 0.00016728 
123 | w achieve | f 3 | p 0.0003384258 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
124 | w acm | f 1 | p 1 | 0.0001450396 0 0.0001470588 1 0.0004527618 0 0.00016728 
124 | w acm | f 1 | p 0.0001450396 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
125 | w acme | f 1 | p 0 | 4.83465e-05 0 0.0001470588 1 0.0004527618 0 0.00016728 
125 | w acme | f 1 | p 4.83465e-05 | 0 0.0001470588 1 0.0004527618 0 0.00016728 0.00016728 
126 | w acquire | f 2 | p 2 | 0.0002417327 0 0.0001470588 0 0.0001509206 0 0.00016728 
126 | w acquire | f 2 | p 0.0002417327 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
127 | w action complaint | f 1 | p 1 | 0.0001450396 0 0.0001470588 0 0.0001509206 0 0.00016728 
127 | w action complaint | f 1 | p 0.0001450396 | 0 0.0001470588 0 0.0001509206 0 0.00016728 0.00016728 
